id,set_name,number,rarity,character,title,popularity,popularity_factor,raw_value_yuan,balance_factor,value_yuan
2985,NS-01,001,SSR,Inori Yuzuriha,Guilty Crown,common,1.02,2.55,1.467411708683,3.74
2986,NS-01,002,SSR,Shana,Shakugan no Shana,common,1.03,2.58,1.467411708683,3.79
2987,NS-01,003,SSR,Nia Teppelin,Gurren Lagann,common,1.00,2.50,1.467411708683,3.67
2988,NS-01,004,SSR,Kurumi Tokisaki,Date A Live,common,1.04,2.60,1.467411708683,3.82
2989,NS-01,005,SSR,Hatsune Miku,Vocaloid,common,1.03,2.58,1.467411708683,3.79
2990,NS-01,006,SSR,Madoka Kaname,Puella Magi Madoka Magica,common,1.02,2.55,1.467411708683,3.74
2991,NS-01,007,SSR,Kurisu Makise,Steins; Gate,epic,2.05,5.13,1.467411708683,7.53
2992,NS-01,008,SSR,Luo Tianyi,Vocaloid,common,1.03,2.58,1.467411708683,3.79
2993,NS-01,009,SSR,Haruhi Suzumiya,The Melancholy of Haruhi Suzumiya,common,1.00,2.50,1.467411708683,3.67
2994,NS-01,010,SSR,Misaka Mikoto,A Certain Magical Index (Toaru Kagaku no Railgun),common,1.01,2.53,1.467411708683,3.71
2995,NS-01,011,SSR,Mikasa Ackerman,Attack on Titan,epic,2.16,5.40,1.467411708683,7.92
2996,NS-01,012,SSR,Kaguya Shinomiya,Kaguya-sama: Love is War,epic,1.95,4.88,1.467411708683,7.16
2997,NS-01,013,SSR,Boa Hancock,One Piece,epic,2.49,6.23,1.467411708683,9.14
2998,NS-01,014,SSR,C.C.,Code Geass,common,1.04,2.60,1.467411708683,3.82
2999,NS-01,015,SSR,Asuna Yuuki,Sword Art Online,legendary,7.92,19.80,1.467411708683,29.05
3000,NS-01,016,SSR,Maki Nishikino,Love Live!,common,1.01,2.53,1.467411708683,3.71
3001,NS-01,017,SSR,Artoria Pendragon (Saber),Fate Series,common,1.03,2.58,1.467411708683,3.79
3002,NS-01,018,SSR,Asuka Shikinami Langley,Evangelion,common,1.05,2.63,1.467411708683,3.86
3003,NS-01,019,SR,Violet Evergarden,Violet Evergarden,common,1.04,0.10,1.467411708683,0.15
3004,NS-01,020,SR,Rikka Takanashi,"Love, Chunibyo & Other Delusions!",common,1.00,0.10,1.467411708683,0.15
3005,NS-01,021,SR,Kotori Itsuka,Date A Live,common,1.05,0.11,1.467411708683,0.16
3006,NS-01,022,SR,Kagura,Gintama,common,1.03,0.10,1.467411708683,0.15
3007,NS-01,023,SR,Tatsumaki,One Punch Man,epic,1.94,0.19,1.467411708683,0.28
